"Date","Price","Open","High","Low","Change %"
"Dec 31, 2019","1.571","1.593","1.593","1.559","0.00%"
"Dec 30, 2019","1.571","1.583","1.609","1.569","-0.77%"
"Dec 29, 2019","1.583","1.585","1.585","1.583","-0.24%"
"Dec 27, 2019","1.587","1.631","1.635","1.585","-2.94%"
"Dec 26, 2019","1.635","1.633","1.649","1.625","0.25%"
"Dec 25, 2019","1.631","1.633","1.633","1.631","0.12%"
"Dec 24, 2019","1.629","1.663","1.671","1.623","-1.27%"
"Dec 23, 2019","1.650","1.633","1.661","1.629","0.88%"
"Dec 22, 2019","1.636","1.650","1.650","1.636","0.28%"
"Dec 20, 2019","1.631","1.627","1.646","1.623","0.00%"
"Dec 19, 2019","1.631","1.633","1.651","1.608","-0.24%"
"Dec 18, 2019","1.635","1.628","1.649","1.618","0.62%"
"Dec 17, 2019","1.625","1.628","1.635","1.620","-0.31%"
"Dec 16, 2019","1.630","1.614","1.647","1.612","0.87%"
"Dec 15, 2019","1.616","1.618","1.618","1.616","0.50%"
"Dec 13, 2019","1.608","1.691","1.691","1.598","-3.37%"
"Dec 12, 2019","1.664","1.617","1.697","1.585","3.03%"
"Dec 11, 2019","1.615","1.652","1.658","1.607","-2.36%"
"Dec 10, 2019","1.654","1.619","1.656","1.599","2.16%"
"Dec 09, 2019","1.619","1.623","1.629","1.607","-0.25%"
"Dec 08, 2019","1.623","1.625","1.625","1.623","0.25%"
"Dec 06, 2019","1.619","1.592","1.649","1.581","1.70%"
"Dec 05, 2019","1.592","1.578","1.604","1.568","0.89%"
"Dec 04, 2019","1.578","1.546","1.586","1.526","2.33%"
"Dec 03, 2019","1.542","1.602","1.622","1.512","-3.87%"
"Dec 02, 2019","1.604","1.622","1.648","1.602","-1.10%"
"Dec 01, 2019","1.622","1.620","1.622","1.620","0.61%"
"Nov 29, 2019","1.612","1.632","1.636","1.602","-0.98%"
"Nov 28, 2019","1.628","1.628","1.628","1.628","0.12%"
"Nov 27, 2019","1.626","1.592","1.630","1.584","2.26%"
"Nov 26, 2019","1.590","1.604","1.616","1.576","-1.30%"
"Nov 25, 2019","1.611","1.630","1.648","1.611","-1.27%"
"Nov 24, 2019","1.632","1.634","1.634","1.632","0.36%"
"Nov 22, 2019","1.626","1.602","1.634","1.589","1.06%"
"Nov 21, 2019","1.609","1.569","1.611","1.547","1.71%"
"Nov 20, 2019","1.582","1.586","1.594","1.565","-1.13%"
"Nov 19, 2019","1.600","1.600","1.621","1.588","0.00%"
"Nov 18, 2019","1.600","1.608","1.631","1.584","-0.37%"
"Nov 17, 2019","1.606","1.606","1.606","1.606","-0.50%"
"Nov 15, 2019","1.614","1.604","1.625","1.592","1.45%"
"Nov 14, 2019","1.591","1.642","1.648","1.577","-3.34%"
"Nov 13, 2019","1.646","1.660","1.671","1.622","-0.96%"
"Nov 12, 2019","1.662","1.672","1.695","1.648","-0.85%"
"Nov 11, 2019","1.676","1.674","1.676","1.674","-0.23%"
"Nov 08, 2019","1.680","1.675","1.699","1.638","0.06%"
"Nov 07, 2019","1.679","1.605","1.710","1.599","4.09%"
"Nov 06, 2019","1.613","1.627","1.629","1.592","-0.62%"
"Nov 05, 2019","1.623","1.602","1.651","1.586","2.20%"
"Nov 04, 2019","1.588","1.552","1.600","1.552","2.19%"
"Nov 03, 2019","1.554","1.554","1.554","1.554","0.00%"
"Nov 01, 2019","1.554","1.526","1.582","1.514","1.83%"
"Oct 31, 2019","1.526","1.606","1.628","1.518","-4.74%"
"Oct 30, 2019","1.602","1.645","1.673","1.598","-2.38%"
"Oct 29, 2019","1.641","1.651","1.666","1.626","-0.36%"
"Oct 28, 2019","1.647","1.630","1.668","1.624","0.95%"
"Oct 27, 2019","1.632","1.628","1.632","1.628","0.46%"
"Oct 25, 2019","1.624","1.574","1.643","1.570","2.65%"
"Oct 24, 2019","1.582","1.576","1.602","1.556","-0.38%"
"Oct 23, 2019","1.588","1.580","1.590","1.550","-0.81%"
"Oct 22, 2019","1.601","1.623","1.633","1.590","-1.48%"
"Oct 21, 2019","1.625","1.563","1.627","1.563","3.81%"
"Oct 20, 2019","1.565","1.567","1.567","1.565","-0.80%"
"Oct 18, 2019","1.578","1.600","1.615","1.555","-1.25%"
"Oct 17, 2019","1.598","1.575","1.643","1.565","0.50%"
"Oct 16, 2019","1.590","1.616","1.620","1.567","-2.09%"
"Oct 15, 2019","1.624","1.593","1.630","1.535","1.79%"
"Oct 14, 2019","1.595","1.595","1.595","1.595","-0.10%"
"Oct 11, 2019","1.597","1.544","1.636","1.518","3.30%"
"Oct 10, 2019","1.546","1.433","1.548","1.425","5.17%"
"Oct 09, 2019","1.470","1.413","1.480","1.409","3.01%"
"Oct 08, 2019","1.427","1.466","1.496","1.409","-2.79%"
"Oct 07, 2019","1.468","1.384","1.472","1.378","5.95%"
"Oct 06, 2019","1.386","1.388","1.388","1.386","-1.45%"
"Oct 04, 2019","1.406","1.392","1.434","1.376","1.01%"
"Oct 03, 2019","1.392","1.472","1.480","1.368","-6.20%"
"Oct 02, 2019","1.484","1.542","1.564","1.468","-3.76%"
"Oct 01, 2019","1.542","1.624","1.680","1.534","-5.17%"
"Sep 30, 2019","1.626","1.628","1.658","1.618","0.00%"
"Sep 29, 2019","1.626","1.628","1.628","1.626","-0.70%"
"Sep 27, 2019","1.637","1.658","1.684","1.622","-1.33%"
"Sep 26, 2019","1.659","1.671","1.688","1.633","-1.31%"
"Sep 25, 2019","1.681","1.616","1.689","1.604","3.26%"
"Sep 24, 2019","1.628","1.677","1.688","1.603","-3.27%"
"Sep 23, 2019","1.683","1.706","1.722","1.632","-0.25%"
"Sep 22, 2019","1.687","1.687","1.687","1.687","0.00%"
"Sep 20, 2019","1.687","1.740","1.755","1.681","-3.27%"
"Sep 19, 2019","1.744","1.760","1.776","1.721","-1.13%"
"Sep 18, 2019","1.764","1.727","1.778","1.670","1.91%"
"Sep 17, 2019","1.731","1.763","1.765","1.721","-1.48%"
"Sep 16, 2019","1.757","1.809","1.809","1.745","-2.61%"
"Sep 15, 2019","1.804","1.804","1.804","1.804","0.00%"
"Sep 13, 2019","1.804","1.721","1.808","1.713","4.58%"
"Sep 12, 2019","1.725","1.697","1.729","1.630","2.92%"
"Sep 11, 2019","1.676","1.676","1.686","1.654","-0.71%"
"Sep 10, 2019","1.688","1.599","1.688","1.583","5.83%"
"Sep 09, 2019","1.595","1.540","1.597","1.532","3.56%"
"Sep 08, 2019","1.540","1.538","1.540","1.538","0.00%"
"Sep 06, 2019","1.540","1.536","1.589","1.512","0.39%"
"Sep 05, 2019","1.534","1.436","1.576","1.436","6.82%"
"Sep 04, 2019","1.436","1.446","1.474","1.428","-1.24%"
"Sep 03, 2019","1.454","1.510","1.528","1.436","-3.58%"
"Sep 02, 2019","1.508","1.514","1.514","1.508","-0.13%"
"Aug 30, 2019","1.510","1.524","1.550","1.502","-1.05%"
"Aug 29, 2019","1.526","1.494","1.540","1.488","1.73%"
"Aug 28, 2019","1.500","1.520","1.528","1.490","-1.57%"
"Aug 27, 2019","1.524","1.533","1.555","1.514","-1.23%"
"Aug 26, 2019","1.543","1.465","1.560","1.449","5.30%"
"Aug 25, 2019","1.465","1.457","1.465","1.457","-4.28%"
"Aug 23, 2019","1.531","1.608","1.642","1.505","-5.02%"
"Aug 22, 2019","1.612","1.573","1.618","1.542","2.35%"
"Aug 21, 2019","1.575","1.516","1.577","1.516","4.30%"
"Aug 20, 2019","1.510","1.531","1.535","1.488","-2.77%"
"Aug 19, 2019","1.553","1.488","1.553","1.485","4.47%"
"Aug 18, 2019","1.487","1.491","1.495","1.487","0.03%"
"Aug 16, 2019","1.486","1.502","1.531","1.474","0.88%"
"Aug 15, 2019","1.473","1.583","1.591","1.467","-6.83%"
"Aug 14, 2019","1.581","1.663","1.664","1.563","-5.39%"
"Aug 13, 2019","1.671","1.590","1.677","1.561","5.89%"
"Aug 12, 2019","1.578","1.685","1.685","1.571","-4.28%"
"Aug 11, 2019","1.649","1.649","1.649","1.649","0.00%"
"Aug 09, 2019","1.649","1.595","1.653","1.588","1.98%"
"Aug 08, 2019","1.617","1.591","1.651","1.587","0.87%"
"Aug 07, 2019","1.603","1.579","1.613","1.505","0.38%"
"Aug 06, 2019","1.597","1.531","1.627","1.529","1.14%"
"Aug 05, 2019","1.579","1.716","1.720","1.571","-8.08%"
"Aug 04, 2019","1.718","1.716","1.718","1.712","0.46%"
"Aug 02, 2019","1.710","1.732","1.766","1.694","-2.29%"
"Aug 01, 2019","1.750","1.882","1.904","1.694","-6.32%"
"Jul 31, 2019","1.868","1.844","1.968","1.808","1.08%"
"Jul 30, 2019","1.848","1.854","1.864","1.836","-0.43%"
"Jul 29, 2019","1.856","1.852","1.862","1.838","0.11%"
"Jul 28, 2019","1.854","1.854","1.854","1.854","-0.33%"
"Jul 26, 2019","1.860","1.866","1.892","1.852","-0.43%"
"Jul 25, 2019","1.868","1.814","1.872","1.800","2.52%"
"Jul 24, 2019","1.822","1.832","1.834","1.798","-0.82%"
"Jul 23, 2019","1.837","1.819","1.846","1.816","1.10%"
"Jul 22, 2019","1.817","1.833","1.841","1.802","-0.86%"
"Jul 21, 2019","1.833","1.833","1.833","1.833","0.48%"
"Jul 19, 2019","1.824","1.791","1.837","1.781","3.87%"
"Jul 18, 2019","1.756","1.819","1.844","1.752","-3.04%"
"Jul 17, 2019","1.811","1.854","1.862","1.811","-2.32%"
"Jul 16, 2019","1.854","1.833","1.877","1.825","1.04%"
"Jul 15, 2019","1.835","1.874","1.874","1.829","-0.55%"
"Jul 14, 2019","1.845","1.845","1.845","1.845","0.00%"
"Jul 12, 2019","1.845","1.859","1.876","1.837","-1.28%"
"Jul 11, 2019","1.869","1.822","1.873","1.795","2.24%"
"Jul 10, 2019","1.828","1.907","1.934","1.822","-4.74%"
"Jul 09, 2019","1.919","1.882","1.923","1.872","1.64%"
"Jul 08, 2019","1.888","1.875","1.894","1.835","0.67%"
"Jul 07, 2019","1.875","1.878","1.878","1.875","0.46%"
"Jul 05, 2019","1.867","1.756","1.888","1.747","5.98%"
"Jul 04, 2019","1.762","1.758","1.762","1.758","-0.14%"
"Jul 03, 2019","1.764","1.757","1.768","1.729","0.06%"
"Jul 02, 2019","1.763","1.775","1.783","1.751","-1.56%"
"Jul 01, 2019","1.791","1.803","1.805","1.753","-0.67%"
"Jun 30, 2019","1.803","1.801","1.803","1.801","2.62%"
"Jun 28, 2019","1.757","1.747","1.763","1.735","0.57%"
"Jun 27, 2019","1.747","1.771","1.809","1.739","-1.58%"
"Jun 26, 2019","1.775","1.723","1.783","1.723","2.25%"
"Jun 25, 2019","1.736","1.732","1.761","1.703","0.12%"
"Jun 24, 2019","1.734","1.776","1.782","1.722","-2.36%"
"Jun 23, 2019","1.776","1.772","1.778","1.772","0.23%"
"Jun 21, 2019","1.772","1.765","1.813","1.751","-0.17%"
"Jun 20, 2019","1.775","1.735","1.800","1.696","1.95%"
"Jun 19, 2019","1.741","1.872","1.905","1.737","-6.60%"
"Jun 18, 2019","1.864","1.869","1.877","1.805","-0.37%"
"Jun 17, 2019","1.871","1.855","1.883","1.848","0.76%"
"Jun 16, 2019","1.857","1.851","1.859","1.851","0.64%"
"Jun 14, 2019","1.845","1.826","1.879","1.798","0.60%"
"Jun 13, 2019","1.834","1.889","1.891","1.817","-2.60%"
"Jun 12, 2019","1.883","1.919","1.928","1.870","-2.44%"
"Jun 11, 2019","1.930","1.895","1.942","1.891","1.15%"
"Jun 10, 2019","1.908","1.900","1.908","1.867","0.32%"
"Jun 09, 2019","1.902","1.904","1.904","1.900","2.75%"
"Jun 07, 2019","1.851","1.883","1.894","1.775","-1.49%"
"Jun 06, 2019","1.879","1.849","1.897","1.816","1.40%"
"Jun 05, 2019","1.853","1.889","1.889","1.773","-1.38%"
"Jun 04, 2019","1.879","1.834","1.926","1.834","2.12%"
"Jun 03, 2019","1.840","1.916","1.922","1.812","-3.87%"
"Jun 02, 2019","1.914","1.918","1.918","1.914","-0.51%"
