指數名稱,報價時間,開盤,最高,最低,指數成交,漲跌點數,漲跌幅(%)
台灣加權指數,2020-04-01 01:00:00,9726.2,9736.0,9663.63,9663.63,-44.43000000000029,-0.45999999999999996
道瓊工業指數,2020-04-03 13:30:00,21285.93,21447.81,20863.09,21052.53,-360.90999999999985,-1.69
S&P500,2020-04-03 13:30:00,2514.92,2538.18,2459.96,2488.65,-38.25,-1.51
NASDAQ,2020-04-03 13:30:00,7477.27,7518.72,7288.11,7373.08,-114.23000000000047,-1.53
Russell2000,2020-04-03 13:30:00,1082.9,1082.9,1035.39,1052.05,-33.75999999999999,-3.11
VIX,2020-04-03 13:30:00,51.11,52.29,46.74,46.8,-4.109999999999999,-8.07
上證指數,2020-04-03 01:30:00,2773.58,2780.59,2754.07,2763.99,-16.65000000000009,-0.6
恆生指數,2020-04-03 01:30:00,23072.95,23236.11,23030.58,23236.11,-43.95000000000073,-0.19
日經指數,2020-04-03 00:00:00,17951.44,18059.15,17646.5,17820.19,1.4699999999975262,0.01
韓國綜合指數,2020-04-03 00:00:00,1731.17,1743.91,1706.68,1725.44,0.5800000000001546,0.03
富時100指數,2020-04-03 07:00:00,5480.2,5486.3,5396.7,5415.5,-64.69999999999982,-1.18
德國DAX指數,2020-04-03 07:00:00,9535.27,9626.72,9470.2,9525.77,-45.04999999999927,-0.47000000000000003
法國巴黎CAC40指數,2020-04-03 07:00:00,4204.81,4214.59,4142.28,4154.58,-66.38000000000011,-1.5699999999999998
新加坡海峽時報指數,2020-04-03 01:00:00,2451.47,2454.79,2380.84,2389.29,-63.74000000000024,-2.6
馬來西亞吉隆坡綜合指數,2020-04-03 01:00:00,1331.56,1333.82,1324.41,1330.65,-0.25,-0.02
印度SENSEX指數,2020-04-03 03:45:00,28623.53,28639.12,27500.79,27590.95,-674.3600000000006,-2.39
澳洲股市指數,2020-04-02 23:00:00,5188.7,5282.6,5063.5,5106.9,-81.80000000000018,-1.58
