匯兌名稱,報價時間,開盤,最高,最低,收盤,漲跌,漲跌幅(%)
美元指數,2019-04-08 04:00:00,97.39,97.4,96.98,97.05,NA,NA
美元指數,2019-04-09 04:00:00,97.08,97.09,96.86,97.01,-0.03999999999999204,-0.04
美元指數,2019-04-10 04:00:00,96.99,97.22,96.85,96.95,-0.060000000000002274,-0.06
美元指數,2019-04-11 04:00:00,96.89,97.19,96.88,97.18,0.23000000000000398,0.24
美元指數,2019-04-12 04:00:00,97.14,97.18,96.75,96.95,-0.23000000000000398,-0.24
美元指數,2019-04-14 04:00:00,,,,,,
美元指數,2019-04-15 04:00:00,96.93,97.18,96.79,96.94,,
美元指數,2019-04-16 04:00:00,96.93,97.09,96.88,97.04,0.10000000000000853,0.1
美元指數,2019-04-17 04:00:00,97.07,97.12,96.82,97.01,-0.030000000000001137,-0.03
美元指數,2019-04-18 04:00:00,97.01,97.49,96.96,97.47,0.45999999999999375,0.47000000000000003
美元指數,2019-04-21 04:00:00,,,,,,
美元指數,2019-04-22 04:00:00,97.38,97.41,97.26,97.3,,
美元指數,2019-04-23 04:00:00,97.28,97.78,97.28,97.57,0.269999999999996,0.27999999999999997
美元指數,2019-04-24 04:00:00,97.6,98.19,97.59,98.1,0.5300000000000011,0.54
美元指數,2019-04-25 04:00:00,98.1,98.32,97.99,98.2,0.10000000000000853,0.1
美元指數,2019-04-26 04:00:00,98.12,98.33,97.85,98.01,-0.18999999999999773,-0.19
美元指數,2019-04-28 04:00:00,,,,,,
美元指數,2019-04-29 04:00:00,98.03,98.1,97.83,97.86,,
美元指數,2019-04-30 04:00:00,97.85,97.89,97.44,97.48,-0.37999999999999545,-0.38999999999999996
美元指數,2019-05-01 04:00:00,97.53,97.73,97.15,97.69,0.20999999999999375,0.22
美元指數,2019-05-02 04:00:00,97.63,97.85,97.51,97.83,0.14000000000000057,0.13999999999999999
美元指數,2019-05-03 04:00:00,97.83,98.1,97.45,97.52,-0.3100000000000023,-0.32
美元指數,2019-05-05 04:00:00,,,,,,
美元指數,2019-05-06 04:00:00,97.56,97.71,97.46,97.52,,
美元指數,2019-05-07 04:00:00,97.52,97.74,97.38,97.63,0.10999999999999943,0.11
美元指數,2019-05-08 04:00:00,97.57,97.68,97.42,97.62,-0.009999999999990905,-0.01
美元指數,2019-05-09 04:00:00,97.58,97.7,97.24,97.37,-0.25,-0.26
美元指數,2019-05-10 04:00:00,97.43,97.45,97.13,97.33,-0.04000000000000625,-0.04
美元指數,2019-05-12 04:00:00,,,,,,
美元指數,2019-05-13 04:00:00,97.3,97.37,97.03,97.36,,
美元指數,2019-05-14 04:00:00,97.32,97.56,97.27,97.53,0.1700000000000017,0.16999999999999998
美元指數,2019-05-15 04:00:00,97.53,97.7,97.44,97.57,0.03999999999999204,0.04
美元指數,2019-05-16 04:00:00,97.54,97.88,97.44,97.84,0.27000000000001023,0.27999999999999997
美元指數,2019-05-17 04:00:00,97.83,98.03,97.77,98.0,0.1599999999999966,0.16
美元指數,2019-05-19 04:00:00,,,,,,
美元指數,2019-05-20 04:00:00,97.96,98.04,97.88,97.93,,
美元指數,2019-05-21 04:00:00,97.92,98.13,97.82,98.06,0.12999999999999545,0.13
美元指數,2019-05-22 04:00:00,98.02,98.12,97.89,98.11,0.04999999999999716,0.05
美元指數,2019-05-23 04:00:00,98.06,98.37,97.81,97.85,-0.2600000000000051,-0.27
美元指數,2019-05-24 04:00:00,97.83,97.91,97.55,97.61,-0.23999999999999488,-0.25
美元指數,2019-05-26 04:00:00,,,,,,
美元指數,2019-05-28 04:00:00,97.74,97.98,97.7,97.96,,
美元指數,2019-05-29 04:00:00,97.93,98.21,97.86,98.14,0.18000000000000682,0.18
美元指數,2019-05-30 04:00:00,98.13,98.28,98.09,98.14,0.0,0.0
美元指數,2019-05-31 04:00:00,98.15,98.17,97.72,97.79,-0.3499999999999943,-0.36
美元指數,2019-06-02 04:00:00,,,,,,
美元指數,2019-06-03 04:00:00,97.64,97.8,97.11,97.14,,
美元指數,2019-06-04 04:00:00,97.21,97.34,97.0,97.07,-0.07000000000000739,-0.06999999999999999
美元指數,2019-06-05 04:00:00,97.12,97.37,96.75,97.37,0.30000000000001137,0.31
美元指數,2019-06-06 04:00:00,97.29,97.35,96.78,97.03,-0.3400000000000034,-0.35000000000000003
美元指數,2019-06-07 04:00:00,97.01,97.18,96.46,96.61,-0.4200000000000017,-0.43
美元指數,2019-06-09 04:00:00,,,,,,
美元指數,2019-06-10 04:00:00,96.65,96.94,96.63,96.79,,
美元指數,2019-06-11 04:00:00,96.75,96.88,96.64,96.69,-0.10000000000000853,-0.1
美元指數,2019-06-12 04:00:00,96.71,97.02,96.58,97.0,0.3100000000000023,0.32
美元指數,2019-06-13 04:00:00,96.96,97.08,96.87,97.01,0.010000000000005116,0.01
美元指數,2019-06-14 04:00:00,97.01,97.58,96.94,97.57,0.5599999999999881,0.58
美元指數,2019-06-16 04:00:00,,,,,,
美元指數,2019-06-17 04:00:00,97.52,97.6,97.34,97.56,,
美元指數,2019-06-18 04:00:00,97.53,97.77,97.37,97.64,0.0799999999999983,0.08
美元指數,2019-06-19 04:00:00,97.63,97.68,97.09,97.12,-0.519999999999996,-0.53
美元指數,2019-06-20 04:00:00,97.18,97.2,96.57,96.63,-0.4900000000000091,-0.5
美元指數,2019-06-21 04:00:00,96.62,96.71,96.15,96.19,-0.4399999999999977,-0.45999999999999996
美元指數,2019-06-23 04:00:00,,,,,,
美元指數,2019-06-24 04:00:00,96.18,96.2,95.97,95.98,,
美元指數,2019-06-25 04:00:00,96.0,96.36,95.84,96.16,0.1799999999999926,0.19
美元指數,2019-06-26 04:00:00,96.18,96.34,96.07,96.21,0.04999999999999716,0.05
美元指數,2019-06-27 04:00:00,96.18,96.39,96.14,96.22,0.010000000000005116,0.01
美元指數,2019-06-28 04:00:00,96.19,96.3,96.02,96.13,-0.09000000000000341,-0.09
美元指數,2019-06-30 04:00:00,,,,,,
美元指數,2019-07-01 04:00:00,96.25,96.87,96.25,96.84,,
美元指數,2019-07-02 04:00:00,96.81,96.88,96.6,96.77,-0.07000000000000739,-0.06999999999999999
美元指數,2019-07-03 13:30:00,,,,,,
美元指數,2019-07-05 04:00:00,96.72,97.44,96.72,97.25,,
美元指數,2019-07-07 04:00:00,,,,,,
美元指數,2019-07-08 04:00:00,97.23,97.42,97.16,97.38,,
美元指數,2019-07-09 04:00:00,97.38,97.59,97.36,97.49,0.10999999999999943,0.11
美元指數,2019-07-10 04:00:00,97.51,97.55,97.04,97.1,-0.39000000000000057,-0.4
美元指數,2019-07-11 04:00:00,97.06,97.15,96.8,97.05,-0.04999999999999716,-0.05
