Date,Price,Open,High,Low,Change %
"Jan 01, 2019",-182.4,-182.4,-182.4,-182.4,-0.37%
"Jan 02, 2019",-183.1,-183.1,-177.9,-185.7,0.37%
"Jan 03, 2019",-183.1,-183.1,-171.0,-185.7,0.00%
"Jan 04, 2019",-182.8,-183.1,-170.8,-185.7,-0.16%
"Jan 06, 2019",-182.2,-182.4,-182.1,-182.4,-0.34%
"Jan 07, 2019",-183.8,-182.9,-177.2,-184.1,0.89%
"Jan 08, 2019",-186.0,-183.2,-182.2,-186.3,1.20%
"Jan 09, 2019",-186.0,-185.4,-184.0,-187.8,0.00%
"Jan 10, 2019",-188.6,-185.4,-180.8,-188.7,1.40%
"Jan 11, 2019",-183.9,-187.3,-182.1,-188.0,-2.49%
"Jan 13, 2019",-182.8,-182.8,-182.8,-182.8,-0.60%
"Jan 14, 2019",-186.3,-183.9,-181.0,-186.8,1.91%
"Jan 15, 2019",-186.3,-185.9,-181.4,-187.6,0.00%
"Jan 16, 2019",-186.7,-185.9,-181.4,-188.3,0.21%
"Jan 17, 2019",-189.0,-186.4,-183.8,-190.1,1.23%
"Jan 18, 2019",-192.8,-188.7,-188.3,-193.9,2.01%
"Jan 21, 2019",-192.8,-192.8,-192.8,-192.8,0.00%
"Jan 22, 2019",-188.1,-192.8,-186.7,-192.8,-2.44%
"Jan 23, 2019",-188.1,-188.1,-187.9,-193.9,0.00%
"Jan 24, 2019",-187.6,-188.1,-186.1,-193.9,-0.27%
"Jan 25, 2019",-189.8,-187.2,-185.9,-190.0,1.17%
"Jan 27, 2019",-188.9,-188.7,-188.7,-189.1,-0.47%
"Jan 28, 2019",-188.8,-189.3,-186.8,-190.6,-0.05%
"Jan 29, 2019",-185.0,-188.6,-184.6,-188.8,-2.01%
"Jan 30, 2019",-182.8,-185.7,-182.6,-188.5,-1.19%
"Jan 31, 2019",-182.8,-182.6,-176.9,-183.5,0.00%
"Feb 01, 2019",-182.8,-182.6,-176.9,-184.7,0.00%
"Feb 03, 2019",-183.1,-183.1,-183.1,-183.1,0.14%
"Feb 04, 2019",-187.5,-184.1,-183.4,-188.4,2.43%
"Feb 05, 2019",-185.4,-186.8,-183.8,-189.0,-1.12%
"Feb 06, 2019",-185.0,-185.6,-182.3,-185.6,-0.22%
"Feb 07, 2019",-180.7,-184.7,-180.0,-184.8,-2.32%
"Feb 08, 2019",-180.7,-180.9,-177.5,-180.9,0.00%
"Feb 10, 2019",-177.3,-177.3,-177.3,-177.3,-1.88%
"Feb 11, 2019",-183.9,-178.4,-178.2,-185.5,3.72%
"Feb 12, 2019",-186.6,-183.9,-183.7,-187.1,1.47%
"Feb 13, 2019",-188.9,-187.1,-186.1,-189.5,1.23%
"Feb 14, 2019",-182.5,-187.7,-181.3,-189.3,-3.39%
"Feb 15, 2019",-186.4,-182.9,-182.0,-188.8,2.14%
"Feb 18, 2019",-186.4,-186.4,-186.4,-186.4,0.00%
"Feb 19, 2019",-182.6,-187.2,-182.4,-187.5,-2.04%
"Feb 20, 2019",-184.8,-182.8,-182.8,-185.9,1.20%
"Feb 21, 2019",-189.5,-184.5,-184.3,-189.7,2.54%
"Feb 22, 2019",-183.9,-188.8,-182.2,-189.1,-2.96%
"Feb 24, 2019",-184.3,-183.0,-183.0,-184.3,0.21%
"Feb 25, 2019",-185.8,-183.9,-183.9,-187.4,0.82%
"Feb 26, 2019",-182.8,-185.8,-182.2,-185.8,-1.61%
"Feb 27, 2019",-182.8,-182.8,-181.8,-188.9,0.00%
"Feb 28, 2019",-190.7,-182.8,-181.8,-192.1,4.32%
"Mar 01, 2019",-194.8,-190.7,-190.1,-195.8,2.15%
"Mar 03, 2019",-194.7,-194.0,-194.0,-195.1,-0.03%
"Mar 04, 2019",-188.9,-194.8,-188.4,-196.1,-3.00%
"Mar 05, 2019",-189.4,-188.9,-188.4,-192.4,0.26%
"Mar 06, 2019",-186.8,-189.4,-185.4,-189.6,-1.37%
"Mar 07, 2019",-186.8,-186.8,-181.1,-186.8,0.00%
"Mar 08, 2019",-182.2,-186.8,-179.7,-186.8,-2.46%
"Mar 10, 2019",-181.4,-181.4,-181.3,-181.5,-0.47%
"Mar 11, 2019",-183.1,-182.0,-181.3,-184.9,0.96%
"Mar 12, 2019",-178.5,-183.1,-178.1,-186.3,-2.51%
"Mar 13, 2019",-181.5,-178.5,-178.5,-181.8,1.68%
"Mar 14, 2019",-183.0,-181.5,-180.9,-184.5,0.83%
"Mar 15, 2019",-183.0,-183.0,-178.5,-184.1,0.00%
"Mar 17, 2019",-179.3,-179.0,-179.0,-180.3,-2.00%
"Mar 18, 2019",-181.5,-179.6,-179.5,-182.1,1.20%
"Mar 19, 2019",-182.8,-181.5,-180.1,-184.4,0.72%
"Mar 20, 2019",-172.4,-182.8,-172.4,-182.8,-5.69%
"Mar 21, 2019",-175.9,-172.4,-171.9,-176.6,2.03%
"Mar 22, 2019",-165.7,-175.9,-163.8,-176.2,-5.80%
"Mar 24, 2019",-166.6,-166.4,-166.3,-166.6,0.51%
"Mar 25, 2019",-164.5,-165.7,-161.7,-171.1,-1.23%
"Mar 26, 2019",-166.5,-164.5,-164.2,-169.3,1.22%
"Mar 27, 2019",-166.5,-166.5,-158.2,-167.2,0.00%
"Mar 28, 2019",-166.5,-166.5,-157.0,-167.2,0.00%
"Mar 29, 2019",-165.7,-166.5,-157.0,-168.3,-0.48%
"Mar 31, 2019",-166.7,-164.6,-164.6,-166.7,0.61%
"Apr 01, 2019",-174.3,-165.7,-165.7,-174.8,4.55%
"Apr 02, 2019",-170.2,-174.3,-169.7,-174.3,-2.35%
"Apr 03, 2019",-177.8,-170.2,-169.9,-177.8,4.47%
"Apr 04, 2019",-176.3,-177.8,-174.6,-177.8,-0.84%
"Apr 05, 2019",-174.9,-176.5,-174.4,-179.4,-0.79%
"Apr 07, 2019",-173.8,-173.3,-173.3,-173.8,-0.61%
"Apr 08, 2019",-178.0,-174.9,-173.6,-178.4,2.39%
"Apr 09, 2019",-175.2,-178.2,-173.5,-178.8,-1.57%
