股票代號,股票名稱,資買,資賣,現償,前日資餘,今日資餘,資限額,券買,券賣,券償,前日券餘,今日券餘,券限額,資券互抵,日期,資增,券增,券資比(%),外陸資買賣超股數(不含外資自營商),外資自營商買賣超股數,投信買賣超股數,自營商買賣超股數(自行買賣),自營商買賣超股數(避險),三大法人合計買賣超
1101,台泥,228,209,0.0,9540,9559,"1,366,404",0,2,0.0,255,257,"1,366,404",0.0,20191225,19,2,2.69,"-457,000",0.0,"378,000","278,000","-44,000","155,000"
1101,台泥,59,67,1.0,9559,9550,"1,366,404",0,2,0.0,257,259,"1,366,404",0.0,20191226,-9,2,2.71,"469,031",0.0,"6,000","-501,250","-37,000","-63,219"
1101,台泥,165,159,0,9550,9556,"1,366,404",0,0,0.0,259,259,"1,366,404",0.0,20191227,6,0,2.71,"3,124,788",0.0,0,"-48,000","42,000","3,118,788"
1101,台泥,804,404,23,9556,9933,"1,366,404",0,44,0,259,303,"1,366,404",1.0,20191230,377,44,3.05,"3,248,999",0.0,"228,000","979,000","203,000","4,658,999"
1101,台泥,178,251,0,9933,9860,"1,366,404",0,0,1,303,302,"1,366,404",0.0,20191231,-73,-1,3.06,"-980,000",0.0,"290,000","-156,000","-295,000","-1,141,000"
1102,亞泥,183,459,0.0,5867,5591,"840,361",33,34,0.0,259,260,"840,361",43.0,20191225,-276,1,4.65,"3,123,000",0.0,"344,000","-77,000","-27,000","3,363,000"
1102,亞泥,102,373,0.0,5591,5320,"840,361",25,1,0.0,260,236,"840,361",0.0,20191226,-271,-24,4.44,"3,949,668",0.0,"3,000","-214,000","-58,000","3,680,668"
1102,亞泥,127,59,2,5320,5386,"840,361",2,2,2.0,236,234,"840,361",0.0,20191227,66,-2,4.34,"3,594,120",0.0,"-100,000","-15,000","16,000","3,495,120"
1102,亞泥,815,129,0,5386,6072,"840,361",0,31,0,234,265,"840,361",0.0,20191230,686,31,4.36,"4,211,471",0.0,"82,000","149,000","165,000","4,607,471"
1102,亞泥,144,428,51,6072,5737,"840,361",9,7,0,265,263,"840,361",6.0,20191231,-335,-2,4.58,"-827,000",0.0,"17,000","-53,000","-369,000","-1,232,000"
1103,嘉泥,"1,042",439,0.0,3385,3988,"193,695",1,23,0.0,71,93,"193,695",32.0,20191225,603,22,2.33,"422,000",0.0,0,"-5,000","-187,000","230,000"
1103,嘉泥,922,"1,291",0.0,3988,3619,"193,695",0,180,0.0,93,273,"193,695",27.0,20191226,-369,180,7.539999999999999,"312,000",0.0,"-4,075","-37,000",0,"270,925"
1103,嘉泥,466,695,0,3619,3390,"193,695",32,20,0.0,273,261,"193,695",0.0,20191227,-229,-12,7.7,"1,053,000",0.0,0,"-58,000",0,"995,000"
1103,嘉泥,431,360,0,3390,3461,"193,695",5,39,0,261,295,"193,695",0.0,20191230,71,34,8.52,"909,000",0.0,0,"-23,000",0,"886,000"
1103,嘉泥,173,598,0,3461,3036,"193,695",28,4,0,295,271,"193,695",2.0,20191231,-425,-24,8.93,"322,000",0.0,0,"-5,000",0,"317,000"
1104,環泥,16,105,0.0,1656,1567,"163,402",0,0,0.0,0,0,"163,402",0.0,20191225,-89,0,0.0,"27,000",0.0,0,0,0,"27,000"
1104,環泥,29,256,0.0,1567,1340,"163,402",0,0,0.0,0,0,"163,402",0.0,20191226,-227,0,0.0,"-75,000",0.0,0,0,0,"-75,000"
1104,環泥,9,79,0,1340,1270,"163,402",0,0,0.0,0,0,"163,402",0.0,20191227,-70,0,0.0,"-338,000",0.0,0,0,0,"-338,000"
1104,環泥,63,112,0,1270,1221,"163,402",0,0,0,0,0,"163,402",1.0,20191230,-49,0,0.0,"-583,000",0.0,0,0,0,"-583,000"
1104,環泥,93,107,70,1221,1137,"163,402",0,0,0,0,0,"163,402",1.0,20191231,-84,0,0.0,"-145,000",0.0,0,0,0,"-145,000"
1108,幸福,10,0,0.0,1117,1127,"101,184",0,0,0.0,0,0,"101,184",0.0,20191225,10,0,0.0,"-2,000",0.0,0,0,0,"-2,000"
1108,幸福,89,2,0.0,1127,1214,"101,184",0,0,0.0,0,0,"101,184",0.0,20191226,87,0,0.0,-447,0.0,0,0,0,-447
1108,幸福,28,140,0,1214,1102,"101,184",0,0,0.0,0,0,"101,184",4.0,20191227,-112,0,0.0,"27,000",0.0,0,0,0,"27,000"
1108,幸福,320,80,0,1102,1342,"101,184",0,2,0,0,2,"101,184",15.0,20191230,240,2,0.15,"2,000",0.0,0,0,0,"2,000"
1108,幸福,59,74,0,1342,1327,"101,184",2,0,0,2,0,"101,184",0.0,20191231,-15,-2,0.0,"5,000",0.0,0,0,0,"5,000"
1109,信大,251,63,0.0,5095,5283,"85,489",0,0,0.0,31,31,"85,489",0.0,20191225,188,0,0.59,"1,000",0.0,0,0,0,"1,000"
1109,信大,53,8,0.0,5283,5328,"85,489",0,0,0.0,31,31,"85,489",0.0,20191226,45,0,0.58,"31,000",0.0,"-1,580",0,0,"29,420"
1109,信大,33,44,0,5328,5317,"85,489",0,0,0.0,31,31,"85,489",0.0,20191227,-11,0,0.58,"320,000",0.0,0,0,0,"320,000"
1109,信大,874,638,0,5317,5553,"85,489",0,42,0,31,73,"85,489",3.0,20191230,236,42,1.31,"894,000",0.0,0,0,0,"894,000"
1109,信大,528,439,0,5553,5642,"85,489",25,0,0,73,48,"85,489",7.0,20191231,89,-25,0.8500000000000001,"-446,000",0.0,0,0,0,"-446,000"
