股票代號,股票名稱,年度,季度,資產總額(百萬元),負債總額(百萬元),權益總額(百萬元),每股參考淨值,單季EPS,單季營收(百萬元),單季毛利率(%),單季營業利益率(%),單季稅後純益率(%),營收年增率(%),每股盈餘年增率(%),ROE(%),ROE年增率(%),毛利率季增率(%),營業利益年增率(%),稅後純益年增率(%),負債佔資產比(%)
1101,台泥,106,4,272557.05,119909.83,152647.22,32.11,0.6899999999999997,29359.67,21.78,16.06,11.58,NA,NA,2.22,NA,NA,NA,NA,43.99
1101,台泥,107,1,283088.58,117326.71,165761.87,35.26,0.69,24179.21,23.95,19.23,11.85,NA,NA,1.7999999999999998,NA,9.959999999999999,NA,NA,41.449999999999996
1101,台泥,107,2,309902.19,143685.05,166217.14,35.67,1.4500000000000002,33321.04,30.819999999999997,26.939999999999998,23.14,NA,NA,4.65,NA,28.68,NA,NA,46.36
1101,台泥,107,3,308369.56,122718.24,185651.32,33.34,1.21,32157.1,26.76,22.86,20.09,NA,NA,3.6700000000000004,NA,-13.170000000000002,NA,NA,39.800000000000004
1101,台泥,107,4,344085.12,146705.66,197379.46,34.2,1.02,34937.25,25.55,20.62,16.04,19.0,47.83,2.93,31.979999999999997,-4.52,52.78,64.83,42.64
1101,台泥,108,1,365525.03,155369.07,210155.96,36.57,0.77,25356.33,25.590000000000003,19.85,16.68,4.87,11.59,2.08,15.559999999999999,0.16,8.25,47.61,42.51
1101,台泥,108,2,373146.28,174886.16,198260.12,34.71,1.42,31367.16,29.709999999999997,24.7,24.33,-5.86,-2.07,3.74,-19.57,16.1,-13.69,-1.02,46.87
1101,台泥,108,3,358422.25,160022.34,198399.91,32.47,1.0500000000000003,30838.39,31.53,26.31,22.84,-4.1000000000000005,-13.22,3.55,-3.27,6.13,10.37,9.030000000000001,44.65
1102,亞泥,106,4,247064.35,101267.98,145796.36,37.91,0.54,19550.21,21.54,16.56,11.940000000000001,NA,NA,1.6099999999999999,NA,NA,NA,NA,40.99
1102,亞泥,107,1,249899.87,101266.41,148633.46,38.54,0.6,16573.88,20.09,16.13,14.57,NA,NA,1.6400000000000001,NA,-6.7299999999999995,NA,NA,40.52
1102,亞泥,107,2,258644.54,104208.8,154435.75,40.19,1.38,22435.21,26.75,22.509999999999998,23.919999999999998,NA,NA,3.54,NA,33.15,NA,NA,40.29
1102,亞泥,107,3,277109.91,119044.41,158065.5,41.12,0.98,21898.98,25.56,21.16,18.81,NA,NA,2.64,NA,-4.45,NA,NA,42.96
1102,亞泥,107,4,279188.0,120139.65,159048.35,41.02,0.5800000000000001,21832.93,28.599999999999998,26.540000000000003,13.669999999999998,11.68,7.41,1.8800000000000001,16.77,11.89,78.97999999999999,27.860000000000003,43.03
1102,亞泥,108,1,286909.55,120939.48,165970.07,42.71,0.93,19385.68,24.03,19.49,19.65,16.97,55.00000000000001,2.34,42.68,-15.98,41.33,57.75,42.15
1102,亞泥,108,2,295740.04,133093.76,162646.29,41.89,1.98,24419.91,33.07,29.03,31.22,8.85,43.480000000000004,4.64,31.069999999999997,37.62,40.37,42.059999999999995,45.0
1102,亞泥,108,3,290392.67,124713.98,165678.69,42.6,1.38,22401.290000000008,28.449999999999996,23.810000000000002,24.560000000000002,2.29,40.82,3.35,26.889999999999997,-13.969999999999999,15.1,33.56,42.95
1103,嘉泥,106,4,28317.99,9057.15,19260.84,27.21,1.46,530.3800000000002,8.72,-25.03,186.44,NA,NA,5.2,NA,NA,NA,NA,31.979999999999997
1103,嘉泥,107,1,29494.84,9466.72,20028.12,28.3,0.24,471.26,11.63,-10.75,33.99,NA,NA,0.8200000000000001,NA,33.37,NA,NA,32.1
